iteration,timestamp,p,true_positives,false_negatives,false_positives,true_negatives,avg_degree,max_degree
458,5986779,0.4199999,0,5,22,373,6.33,11
459,4232651,0.36999995,6,0,7,387,5.105,11
460,6831493,0.31,6,0,10,384,4.04,8
461,4646854,0.5099998,5,0,7,388,7.71,13
462,45393,0.38999993,5,0,8,387,5.8,10
463,2433891,0.56999975,7,0,9,384,8.71,14
464,4831585,0.9299994,0,0,0,0,0.0,0
465,6791807,0.89999944,0,0,0,0,0.0,0
466,8516886,0.99999934,0,7,15,378,17.185,20
467,2793065,0.68999964,6,0,5,389,10.34,15
468,7404001,0.8199995,0,0,0,0,0.0,0
469,2602198,0.32,4,0,20,376,4.335,8
470,2676494,0.47999984,8,0,12,380,7.24,11
471,2553329,0.9199994,0,0,0,0,0.0,0
472,1174158,0.5999997,0,0,0,0,0.0,0
473,5734145,0.6099997,6,0,12,382,9.255,14
474,7630767,0.6399997,0,0,0,0,0.0,0
475,1590410,0.7499996,5,1,19,375,11.21,17
476,8904196,0.5099998,4,0,9,387,7.64,13
477,4060669,0.79999954,0,0,0,0,0.0,0
478,7665196,0.6199997,0,5,11,384,9.23,13
479,9447898,0.36999995,0,7,14,379,5.35,10
480,4170429,0.87999946,0,5,9,386,14.39,19
481,3603088,0.98999935,0,5,14,381,16.99,20
482,5543353,0.97999936,0,0,0,0,0.0,0
483,6984554,0.68999964,0,0,0,0,0.0,0
484,9357652,0.77999955,5,0,12,383,11.77,17
485,971847,0.79999954,2,2,11,385,12.235,18
486,7326557,0.5999997,0,5,9,386,8.96,14
487,4936366,0.35999995,6,0,13,381,5.005,10
488,3976791,0.5399998,0,4,17,379,8.235,13
489,5118622,0.7099996,0,5,10,385,10.345,16
490,7575049,0.98999935,5,1,13,381,17.155,20
491,8351897,0.7199996,6,0,7,387,10.525,15
492,1240986,0.67999965,0,6,13,381,10.15,16
493,3665794,0.5299998,5,0,14,381,8.08,13
494,351831,0.34999996,6,0,9,385,4.815,9
495,3302376,0.49999982,6,0,7,387,7.57,12
496,5678722,0.48999983,6,0,12,382,7.405,15
497,8809273,0.31,0,3,20,377,4.06,9
498,3586559,0.35999995,6,0,11,383,4.865,9
499,3747499,0.67999965,6,0,10,384,9.97,16
500,9459723,0.37999994,6,0,7,387,5.49,11
501,2480833,0.7499996,0,0,0,0,0.0,0
502,2123072,0.5299998,0,6,15,379,8.005,13
503,7047307,0.7299996,4,0,19,377,10.91,17
504,8079950,0.8099995,3,0,14,383,12.385,18
505,2067329,0.98999935,5,0,15,380,17.02,20
506,5016346,0.5299998,4,0,14,382,8.155,12
507,6441409,0.8399995,0,0,0,0,0.0,0
508,8419687,0.97999936,0,0,0,0,0.0,0
509,8744859,0.8499995,0,5,16,379,13.615,19
510,1913229,0.8199995,0,0,0,0,0.0,0
511,21502,0.32999998,6,0,12,382,4.585,9
512,4707152,0.6199997,3,0,13,384,9.2,14
513,828430,0.5499998,5,0,9,386,8.38,13
514,2655767,0.4199999,6,0,1,393,6.465,11
515,1536094,0.7299996,0,0,0,0,0.0,0
516,424235,0.45999986,7,0,14,379,7.015,11
517,2234665,0.7299996,0,5,15,380,10.915,16
518,7474320,0.9399994,0,0,0,0,0.0,0
519,8439062,0.8599995,7,0,17,376,13.72,18
520,6648296,0.49999982,5,0,9,386,7.54,12
521,1925376,0.7399996,0,7,17,376,11.02,16
522,6872940,0.37999994,7,0,3,390,5.33,10
523,3880332,0.33999997,6,0,6,388,4.7,10
524,4595402,0.97999936,0,3,16,381,16.885,20
525,8412436,0.9199994,0,0,0,0,0.0,0
526,6957498,0.55999976,4,1,14,381,8.44,13
527,3292929,0.47999984,0,5,24,371,7.08,11
528,7084193,0.77999955,0,4,9,387,11.795,17
529,3296653,0.48999983,0,5,5,390,7.315,12
530,8197525,0.4099999,0,6,15,379,6.025,10
531,8347381,0.7099996,0,6,12,382,10.445,17
532,1940018,0.7599996,0,6,9,385,11.37,16
533,4308728,0.5299998,5,0,8,387,8.12,14
534,48860,0.4199999,0,5,9,386,6.27,12
