iteration,timestamp,p,true_positives,false_negatives,false_positives,true_negatives,avg_degree,max_degree
317,3547758,0.8399995,0,5,10,385,12.765,18
318,19852393,0.32999998,4,0,19,377,4.69,10
319,18290535,0.98999935,4,1,23,372,15.345,20
320,3606847,0.89999944,4,0,21,375,13.925,19
321,20724817,0.32999998,5,0,6,389,4.685,10
322,4922824,0.35999995,4,1,11,384,5.085,11
323,6734703,0.6499997,0,6,8,386,9.97,15
324,7979628,0.39999992,4,2,6,388,5.84,11
325,17385010,0.9199994,0,7,8,385,14.165,19
326,2916470,0.9199994,0,7,8,385,14.15,19
327,11698698,0.79999954,7,0,9,384,12.09,18
328,19154185,0.34999996,0,5,16,379,4.895,11
329,2960399,0.4099999,7,0,12,381,5.965,11
330,11641944,0.7599996,5,0,13,382,11.48,16
331,4568422,0.7599996,5,0,11,384,11.535,16
332,7602118,0.76999956,0,0,0,0,0.0,0
333,17098134,0.7299996,0,5,4,391,11.02,16
334,4412933,0.65999967,5,0,14,381,9.92,15
335,133738,0.56999975,9,0,7,384,8.685,13
336,11183675,0.39999992,5,0,17,378,5.91,12
337,17097682,0.7199996,5,0,10,385,10.95,17
338,9647586,0.5299998,5,1,15,379,7.99,14
339,8504735,0.9699994,0,0,0,0,0.0,0
340,5064654,0.5099998,0,7,7,386,7.805,14
341,1632854,0.58999974,0,5,12,383,9.05,15
342,24479,0.32999998,0,8,21,371,4.655,10
343,11789303,0.98999935,0,0,0,0,0.0,0
344,3087715,0.67999965,2,3,12,383,10.23,15
345,10392751,0.47999984,5,0,9,386,7.12,12
346,2840569,0.90999943,0,0,0,0,0.0,0
347,19999457,0.47999984,6,0,6,388,7.03,12
348,2255807,0.43999988,7,0,10,383,6.49,12
349,591993,0.6299997,7,0,5,388,9.46,14
350,6136749,0.8399995,0,0,0,0,0.0,0
351,18674951,0.67999965,6,0,10,384,10.205,15
352,11387916,0.56999975,8,0,11,381,8.605,14
353,3655804,0.99999934,0,4,9,387,15.41,21
354,11145529,0.35999995,7,0,25,368,5.19,11
355,10270217,0.34999996,5,0,16,379,4.93,10
356,10252436,0.9499994,6,1,9,384,14.73,20
357,20941876,0.5499998,4,0,12,384,8.205,13
358,1890861,0.33999997,7,0,13,380,4.79,9
359,2877099,0.99999934,0,0,0,0,0.0,0
360,12465629,0.9499994,0,0,0,0,0.0,0
361,11637803,0.7499996,0,4,15,381,11.245,17
362,10316971,0.39999992,0,3,15,382,5.87,11
363,8023372,0.44999987,6,0,12,382,6.525,14
364,1129292,0.99999934,0,0,0,0,0.0,0
365,3460602,0.7199996,0,6,11,383,10.715,17
366,6793918,0.68999964,6,0,5,389,10.465,16
367,1237860,0.48999983,7,0,3,390,7.325,13
368,1846353,0.90999943,0,4,14,382,14.19,19
369,1162742,0.32,6,0,12,382,4.385,9
370,18365328,0.44999987,0,5,20,375,6.75,12
371,19388610,0.57999974,0,6,7,387,8.6,14
372,1495336,0.9399994,0,4,12,384,14.655,21
373,19116297,0.32,5,0,14,381,4.295,9
374,6850525,0.7299996,7,0,9,384,10.895,16
375,7526222,0.6299997,0,5,9,386,9.365,14
